Customer|Name|Revision|Configurable|Name|Number|Revision|Description|Manufacturer|Name|Number|Revision|Description|ConfigurationOption|ConsolidatedReferences|CustomerPartNumber|Name|Value|Description|InternalPartNumber|IsSubAssembly|ItemNumber|Manufacturer|OptionCode|Package|PartLabel|PartRevision|PartType|Polarized|Quantity|Reference|RevisionMode|Socket|UnitOfIssue|
REI-CCA|117167-REV3-REI|3_2|no|CRCW040210K0FKEE|CRCW040210K0FKEE||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,10K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040210K0FKED|no|16|Vishay|||||Electronic||58||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|CRCW040210K0FKEE|CRCW040210K0FKEE||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,10K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040210K0FKED|no|16|Vishay|||||Electronic||58||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|CRCW040210K0FKEE|CRCW040210K0FKEE||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,10K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040210K0FKED|no|16|Vishay|||||Electronic||58||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|CRCW040210K0FKEE|CRCW040210K0FKEE||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,10K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040210K0FKED|no|16|Vishay|||||Electronic||58||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|CRCW040210K0FKEE|CRCW040210K0FKEE||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,10K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040210K0FKED|no|16|Vishay|||||Electronic||58||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|CRCW040210K0FKEE|CRCW040210K0FKEE||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,10K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040210K0FKED|no|16|Vishay|||||Electronic||58||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|CRCW040210K0FKEE|CRCW040210K0FKEE||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,10K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040210K0FKED|no|16|Vishay|||||Electronic||58||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,113R,1/16W,1%,+/-100PPM,THKF,0402|CRCW0402113RFKED|no|17|Vishay|||||Electronic||1||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,120K,1/16W,1%,+/-100PPM,THKF,0402|CRCW0402120KFKED|no|18|Vishay|||||Electronic||1||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,174K,1/16W,1%,+/-100PPM,THKF,0402|CRCW0402174KFKED|no|19|Vishay|||||Electronic||1||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,2K10,1/16W,1%,+/-100PPM,THKF,0402|CRCW04022K10FKED|no|20|Vishay|||||Electronic||10||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,2K10,1/16W,1%,+/-100PPM,THKF,0402|CRCW04022K10FKED|no|20|Vishay|||||Electronic||10||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,2K10,1/16W,1%,+/-100PPM,THKF,0402|CRCW04022K10FKED|no|20|Vishay|||||Electronic||10||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,2K87,1/16W,1%,+/-100PPM,THKF,0402|CRCW04022K87FKED|no|21|Vishay|||||Electronic||1||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,220K,1/16W,1%,+/-100PPM,THKF,0402|CRCW0402220KFKED|no|22|Vishay|||||Electronic||1||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,22K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040222K0FKED|no|23|Vishay|||||Electronic||1||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|RK73H1ETTP3401F|RK73H1ETTP3401F||PCBA,GPS EOS ROBUST|KOA||||||||||RES,3K40,1/16W,1%,+/-100PPM,THKF,0402|CRCW04023K40FKED|no|24|KOA|||||Electronic||1||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|KOA||||||||||RES,33K2,1/16W,1%,+/-100PPM,THKF,0402|CRCW040233K2FKED|no|25|KOA|||||Electronic||4||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|KOA||||||||||RES,33K2,1/16W,1%,+/-100PPM,THKF,0402|CRCW040233K2FKED|no|25|KOA|||||Electronic||4||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|KOA||||||||||RES,33K2,1/16W,1%,+/-100PPM,THKF,0402|CRCW040233K2FKED|no|25|KOA|||||Electronic||4||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|KOA||||||||||RES,33K2,1/16W,1%,+/-100PPM,THKF,0402|CRCW040233K2FKED|no|25|KOA|||||Electronic||4||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|KOA||||||||||RES,340K,1/16W,1%,+/-100PPM,THKF,0402|CRCW0402340KFKED|no|26|KOA|||||Electronic||1||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|KOA||||||||||RES,4K87,1/16W,1%,+/-100PPM,THKF,0402|CRCW04024K87FKED|no|27|KOA|||||Electronic||1||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|KOA||||||||||RES,47K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040247K0FKED|no|28|KOA|||||Electronic||1||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|KOA||||||||||RES,511R,1/16W,1%,+/-100PPM,THKF,0402|CRCW0402511RFKED|no|29|KOA|||||Electronic||2||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|KOA||||||||||RES,511R,1/16W,1%,+/-100PPM,THKF,0402|CRCW0402511RFKED|no|29|KOA|||||Electronic||2||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|KOA|||||||CRCW040253K6FKED|||RES,53K6,1/16W,1%,+/-100PPM,0402,SMD|CRCW040253K6FKED|no|30|KOA|||||Electronic||1||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|KOA||||||||||RES,590R,1/16W,1%,+/-100PPM,THKF,0402|CRCW0402590RFKED|no|31|KOA|||||Electronic||1||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|KOA||||||||||RES,6K19,1/16W,1%,+/-100PPM,THKF,0402|CRCW04026K19FKED|no|32|KOA|||||Electronic||1||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|KOA||||||||||RES,634R,1/16W,1%,+/-100PPM,THKF,0402|CRCW0402634RFKED|no|33|KOA|||||Electronic||1||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|KOA||||||||||RES,750R,1/16W,1%,+/-100PPM,THKF,0402|CRCW0402750RFKED|no|34|KOA|||||Electronic||1||UseSpecific||EA|
