Customer|Name|Revision|Configurable|Name|Number|Revision|Description|Manufacturer|Name|Number|Revision|Description|ConfigurationOption|ConsolidatedReferences|CustomerPartNumber|Name|Value|Description|InternalPartNumber|IsSubAssembly|ItemNumber|Manufacturer|OptionCode|Package|PartLabel|PartRevision|PartType|Polarized|Quantity|Reference|RevisionMode|Socket|UnitOfIssue|
"AMF"|"026001012-REVA-AMF"|"A"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"TERM,QUICK,.187X.020"",FEMALE,22-18AWG"|"2-520401-2"|no|"10.2"|""|""|""|""|""|"Generic"|""|6|""|"UseSpecific"|""|""
"AMF"|"026001012-REVA-AMF"|"A"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"FASTON TERMINAL, .25 16-14 AWG AMP"|"3-520406-2"|no|"10.3"|""|""|""|""|"NO REV"|"Generic"|""|4|""|"UseSpecific"|""|""
"AMF"|"026001012-REVA-AMF"|"A"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"WIRE,14 AWG,105C,600V,YELLOW,PVC"|"CW1614/5"|no|"10.4"|""|""|""|""|""|"Electronic"|""|.5|""|"UseSpecific"|""|"ft"
"AMF"|"026001012-REVA-AMF"|"A"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"WIRE,14 AWG,105C,600V,BROWN,PVC"|"CW1614/7"|no|"10.5"|""|""|""|""|""|"Electronic"|""|.333|""|"UseSpecific"|""|"ft"
"AMF"|"026001012-REVA-AMF"|"A"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"WIRE,18 AWG,105C,600V,RED,PVC"|"CW1618/3"|no|"10.6"|""|""|""|""|""|"Electronic"|""|.25|""|"UseSpecific"|""|"ft"
"AMF"|"026001012-REVA-AMF"|"A"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"WIRE,18 AWG,105C,600V,BROWN,PVC"|"CW1618/7"|no|"10.7"|""|""|""|""|""|"Electronic"|""|.5|""|"UseSpecific"|""|"ft"
"WATT-12V"|"03-02067-001-REVD-WATT"|"D"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"DWG, IMPERIUM 2.0 INTERNL WIRING DIAGRAM"|"81-02209-001-DWG-WATT"|yes|"10.1"|""|""|""|""|"C"|"Electronic"|""|0|""|"UseSpecific"|""|"ref"
"WATT-12V"|"03-02067-001-REVD-WATT"|"D"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"PLACEHOLDER,DWG/SPEC, ETC."|"BMS-DWG"|yes|"10.2"|""|""|""|""|"NO REV"|"Generic"|""|0|""|"UseSpecific"|""|""
"WATT-12V"|"03-02067-001-REVD-WATT"|"D"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"PLACEHOLDER,DWG ASSEMBLY"|"BMS-DWG-ASSEMBLY"|yes|"10.3"|""|""|""|""|"NO REV"|"Generic"|""|0|""|"UseSpecific"|""|""
"WATT-12V"|"03-02067-001-REVD-WATT"|"D"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"BOP ASM, PROPANE"|"01-02066-001-REVB-WATT"|yes|"10.4"|""|""|""|""|"B"|"Electronic"|""|1|""|"UseSpecific"|""|""
"WATT-12V"|"03-02067-001-REVD-WATT"|"D"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"BASE ASSEMBLY"|"10-02068-001-REVC-WATT"|yes|"10.5"|""|""|""|""|"C_1"|"Electronic"|""|1|""|"UseSpecific"|""|""
"WATT-12V"|"03-02067-001-REVD-WATT"|"D"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"COVER ASSEMBLY"|"10-02069-001-REVC-WATT"|yes|"10.6"|""|""|""|""|"C"|"Electronic"|""|1|""|"UseSpecific"|""|""
"WATT-12V"|"03-02067-001-REVD-WATT"|"D"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"##OM,FW-STACK TO PM1"|"48-02194-001-REVI-WATT"|yes|"10.7"|""|""|""|""|"I"|"Electronic"|""|1|""|"UseSpecific"|""|""
"WATT-12V"|"03-02067-001-REVD-WATT"|"D"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"##OM,STACK-QD TO STACK"|"48-02196-001-REVI-WATT"|yes|"10.8"|""|""|""|""|"I"|"Electronic"|""|1|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"LABEL,CHIP,U2"|"PIN-V4.07.LBL"|yes|"5.1"|""|""|""|""|""|"Generic"|""|1|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"LABEL,PRT NUMBER/SERIAL NUMBER 088400037"|"LAMF-12-017-R0.LBL"|yes|"5.2"|""|""|""|""|"0"|"Generic"|""|2|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"TEST PROC,HYPOT SAFETY PRECAUTIONS"|"TST-7193"|yes|"10.1"|""|""|""|""|"0"|"Generic"|""|0|""|"UseSpecific"|""|"ref"
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"TP,AMF,PINSPOTTER,MCU AND THU"|"TST-7203"|yes|"10.2"|""|""|""|""|"15"|"Generic"|""|0|""|"UseSpecific"|""|"ref"
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"TEST PROC,AMF PINSPOTTER HYPOT"|"TST-7206"|yes|"10.3"|""|""|""|""|"4"|"Generic"|""|0|""|"UseSpecific"|""|"ref"
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"DWG,PINSPOTTER BOX ASSEMBLY"|"088-000-001-DWG-AMF"|yes|"10.4"|""|""|""|""|"Q"|"Generic"|""|0|""|"UseSpecific"|""|"ref"
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"BAG,CLEAR,POLY.,3""X5"""|"S1707"|yes|"10.5"|""|""|""|""|""|"Electronic"|""|1|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|"088-003-011-REVJ-AMF"|""|""|"PCA,RELAY BOARD,PINSPOTTER"|"088-003-011-REVJ-AMF"|yes|"10.6"|""|""|""|""|"J_1"|"Electronic"|""|1|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|"088-000-013-REVC-AMF"|""|""|"PCA,CPU BOARD,PINSPOTTER"|"088-000-013-REVC-AMF"|yes|"10.7"|""|""|""|""|"C_7"|"Electronic"|""|1|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"PLATE,LEXAN,PINSPOTTER,AMF"|"026001002-REVB-AMF"|yes|"10.8"|""|""|""|""|"B"|"Electronic"|""|1|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|"PT-45B"|""|""|"45W POWER SUPPLY"|"PT-45B"|yes|"10.9"|""|""|""|""|""|"Electronic"|""|1|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"CHASSIS MOUNTED TRANSFORMER"|"A41-80-28"|yes|"10.10"|""|""|""|""|""|"Electronic"|""|1|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"FILTERED POWER ENTRY MODULE"|"FN284-6/06"|yes|"10.11"|""|""|""|""|""|"Electronic"|""|1|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"FILTERED POWER ENTRY MODULE"|"6ESRFC3"|yes|"10.12"|""|""|""|""|""|"Electronic"|""|1|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"MALLORY SONABUZZER"|"SC307N"|yes|"10.13"|""|""|""|""|""|"Electronic"|""|1|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"1.5"" X 4"" (5/16 )ALUMINUM HANDLE"|"7176"|yes|"10.14"|""|""|""|""|""|"Electronic"|""|2|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|"TD2420Q"|""|""|"QUAD RELAY"|"TD2420Q"|yes|"10.15"|""|""|""|""|""|"Electronic"|""|1|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|"IEGHS11-1REC4-62-10.0-G-01-V"|""|""|"10A, 220VAC CIRCUIT BREAKER"|"IEGHS11-1REC4-62-10.0-G-01-V"|yes|"10.16"|""|""|""|""|""|"Electronic"|""|2|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"220V POWER INLET, 3 POLE 16 AMP"|"888-611306"|yes|"10.17"|""|""|""|""|""|"Electronic"|""|2|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"VIBRATION-DAMPING-MNT,M/M,1/4-20""X1/2""L"|"9213K15"|yes|"10.18"|""|""|""|""|""|"Electronic"|""|4|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"E-STOP,BUTTON,RED,CUSTOM-MARKING"|"M22-YED0018"|yes|"10.19"|""|""|""|""|""|"Electronic"|""|1|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"RESET BUTTON"|"GCX1105"|yes|"10.20"|""|""|""|""|""|"Electronic"|""|1|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"RIBBON CABLE, 60 PIN, AMF RELAY-CPU BD"|"A3AAG-6018M-ND"|yes|"10.21"|""|""|""|""|""|"Electronic"|""|1|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"XLI CHASSIS,ENCLOSURE - NON CE"|"LAMF-10-000-REVB"|yes|"10.22"|""|""|""|""|"B"|"Electronic"|""|1|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|"088-000-225-REVC-AMF"|""|""|"ASSY,XLi PSP, LED STACKLIGHT"|"088-000-225-REVC-AMF"|yes|"10.23"|""|""|""|""|"C"|"Electronic"|""|2|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"KEYPAD,XLI CHASSIS"|"088-000-019-REVD-AMF"|yes|"10.24"|""|""|""|""|"D"|"Electronic"|""|1|""|"UseSpecific"|""|""
